SatNAME,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
IRIDIUM 105             ,41921U,17003E,20302.41495827,.00000105,00000-0,30586-4,0,9997,41921,86.4037,196.7140,0.0001711,101.4506,258.6882,14.34218029
IRIDIUM 104             ,41922U,17003F,20302.80580923,.00000075,00000-0,19874-4,0,9996,41922,86.4014,228.1200,0.0001905,90.2595,269.8819,14.34216236
IRIDIUM 114             ,41923U,17003G,20302.81215559,.00000079,00000-0,21118-4,0,9996,41923,86.4015,228.1067,0.0002413,87.1056,273.0416,14.34218182
IRIDIUM 108             ,41924U,17003H,20302.42183667,.00000093,00000-0,25981-4,0,9996,41924,86.4031,196.7238,0.0002044,92.7191,267.4239,14.34217979
IRIDIUM 112             ,41925U,17003J,20302.79947782,.00000072,00000-0,18795-4,0,9995,41925,86.4009,228.0513,0.0002520,80.7202,279.4279,14.34217950
IRIDIUM 111             ,41926U,17003K,20302.50772755,.00000078,00000-0,20634-4,0,9992,41926,86.4012,228.1991,0.0001791,79.5266,280.6132,14.34217993
SBIRS GEO-4 (USA 273)   ,41937U,17004A,20302.75194657,.00000121,00000-0,00000+0,0,9990,41937,3.5303,312.2581,0.0002655,252.3847,304.2254,1.00273262 
HISPASAT 36W-1          ,41942U,17006A,20302.41765839,-.00000248,00000-0,00000+0,0,9998,41942,0.0058,182.5810,0.0000993,18.3837,310.6348,1.00272739 
TELKOM 3S               ,41944U,17007A,20302.77757652,-.00000365,00000-0,00000+0,0,9994,41944,0.0160,273.4213,0.0002403,300.8971,221.2121,1.00271172 
INTELSAT 32E (IS-32E)   ,41945U,17007B,20302.48770887,-.00000273,00000-0,00000-0,0,9997,41945,0.0147,229.1795,0.0000211,269.2066,31.2955,1.00267024 
CARTOSAT-2D             ,41948U,17008A,20302.50175814,.00000597,00000-0,31619-4,0,9995,41948,97.4766,359.7413,0.0006164,247.5769,112.4818,15.19213602
INS-1A                  ,41949U,17008B,20302.41675980,.00002204,00000-0,90856-4,0,9990,41949,97.3412,4.3177,0.0009115,180.1990,179.9246,15.25092911
